Support Item Number,Support Item Name,Registration Group Number,Registration Group Name,Support Category Number,Support Category Number (PACE),Support Category Name,Support Category Name (PACE),Unit,Quote,Start date,End Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Remote,Very Remote,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,99991231,$78.81,$78.81,$78.81,$78.81,$78.81,$78.81,$78.81,$78.81,$110.33,$118.22,Y,Y,Y,N,N,Price Limited Supports
01_003_0107_1_1,Assistance From Live-In Carer,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,Yes,20250701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_004_0107_1_1,Assistance with Personal Domestic Activities,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,99991231,$59.06,$59.06,$59.06,$59.06,$59.06,$59.06,$59.06,$59.06,$82.68,$88.59,Y,Y,Y,N,N,Price Limited Supports
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20250701,99991231,$297.60,$297.60,$297.60,$297.60,$297.60,$297.60,$297.60,$297.60,$416.64,$446.40,Y,Y,Y,N,N,Price Limited Supports
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,99991231,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$98.32,$105.35,Y,Y,Y,N,N,Price Limited Supports
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,99991231,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$218.44,$234.05,Y,Y,Y,N,N,Price Limited Supports
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,99991231,$98.83,$98.83,$98.83,$98.83,$98.83,$98.83,$98.83,$98.83,$138.36,$148.25,Y,Y,Y,N,N,Price Limited Supports
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,99991231,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$178.40,$191.15,Y,Y,Y,N,N,Price Limited Supports
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,99991231,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$108.33,$116.07,Y,Y,Y,N,N,Price Limited Supports
01_016_0104_1_1,Specialised Home Based Assistance For A Child,0104,High Intensity Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,99991231,$59.06,$59.06,$59.06,$59.06,$59.06,$59.06,$59.06,$59.06,$82.68,$88.59,Y,Y,Y,N,N,Price Limited Supports
01_017_0107_1_1,On-Call Overnight Monitoring-Off Site or Onsite (Includes 1 hour of assistance),0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,Yes,20250701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_019_0120_1_1,House or Yard Maintenance,0120,Household Tasks,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,99991231,$56.98,$56.98,$56.98,$56.98,$56.98,$56.98,$56.98,$56.98,$79.77,$85.47,Y,Y,Y,N,N,Price Limited Supports
01_020_0120_1_1,House Cleaning And Other Household Activities,0120,Household Tasks,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20250701,99991231,$58.03,$58.03,$58.03,$58.03,$58.03,$58.03,$58.03,$58.03,$81.24,$87.05,Y,Y,Y,N,N,Price Limited Supports
01_021_0120_1_1,Linen Service,0120,Household Tasks,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,Yes,20250701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,0120,Household Tasks,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20250701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,Yes,20250701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_027_0115_1_1,Assistance In A Shared Living Arrangement,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,Yes,20250701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_045_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Weekday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,No,20250701,99991231,$708.75,$708.75,$708.75,$708.75,$708.75,$708.75,$708.75,$708.75,$992.25,$1063.13,N,N,Y,N,N,Price Limited Supports
01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,Yes,20250701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,0104,High Intensity Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20250701,99991231,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$983.22,$1053.45,N,N,N,N,N,Price Limited Supports
01_049_0107_1_1,Establishment Fee For Personal Care/Participation,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20250701,99991231,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$983.22,$1053.45,N,N,N,N,N,Price Limited Supports
01_050_0115_1_1,Assistance With Daily Life Tasks Provided In Residential Aged Care Facility,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,E,No,20250701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
