Support Item Number,Support Item Name,Registration Group Number,Registration Group Name,Support Category Number,Support Category Number (PACE),Support Category Name,Support Category Name (PACE),Unit,Quote,Start date,End Date,National,Remote,Very Remote,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20260701,99991231,82.57,115.6,123.86,Y,Y,Y,N,N,Priced Supports
01_003_0107_1_1,Assistance From Live-In Carer,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,Yes,20260701,99991231,,,,,,,,,Quotable Supports
01_004_0107_1_1,Assistance with Personal Domestic Activities,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20260701,99991231,61.16,85.62,91.74,Y,Y,Y,N,N,Priced Supports
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20260701,99991231,311.79,436.51,467.69,Y,Y,Y,N,N,Priced Supports
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20260701,99991231,73.58,103.01,110.37,Y,Y,Y,N,N,Priced Supports
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20260701,99991231,163.46,228.84,245.19,Y,Y,Y,N,N,Priced Supports
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20260701,99991231,103.54,144.96,155.31,Y,Y,Y,N,N,Priced Supports
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20260701,99991231,133.5,186.9,200.25,Y,Y,Y,N,N,Priced Supports
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20260701,99991231,81.07,113.5,121.61,Y,Y,Y,N,N,Priced Supports
01_016_0104_1_1,Specialised Home Based Assistance For A Child,0104,High Intensity Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20260701,99991231,61.16,85.62,91.74,Y,Y,Y,N,N,Priced Supports
01_017_0107_1_1,On-Call Overnight Monitoring-Off Site or Onsite (Includes 1 hour of assistance),0107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,Yes,20260701,99991231,,,,,,,,,Quotable Supports
01_019_0120_1_1,House or Yard Maintenance,0120,Household Tasks,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20260701,99991231,59.01,82.61,88.52,Y,Y,Y,N,N,Priced Supports
01_020_0120_1_1,House Cleaning And Other Household Activities,0120,Household Tasks,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20260701,99991231,60.1,84.14,90.15,Y,Y,Y,N,N,Priced Supports
01_021_0120_1_1,Linen Service,0120,Household Tasks,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,Yes,20260701,99991231,,,,,,,,,Quotable Supports
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,0120,Household Tasks,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,D,Yes,20260701,99991231,,,,,,,,,Quotable Supports
